RegionID,SizeRank,RegionName,RegionType,StateName,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/30/23,5/31/23,6/30/23,7/31/23,8/31/23,9/30/23
394355,29,"Austin, TX",msa,TX,82,57,57,52,49,39,50,49,154,206,69,32,19,15,28,25,21,16,33,89,10,11,16,37,13,18,21,17,13,40,28,45,41,37,35,67,44,39,68,40,32,42,30,45,29,52,28,58,25,26,35,24,26,36,21,24,33,19,32,35,20,33,43,25,37,29,30,35,33
394492,32,"Columbus, OH",msa,OH,41,24,48,37,51,51,20,30,38,48,25,44,66,82,134,155,154,126,69,10,22,24,23,22,8,10,17,20,23,25,36,45,38,26,32,13,17,32,35,27,23,24,22,29,22,36,21,37,21,16,20,24,27,20,31,15,16,19,24,15,7,13,15,18,24,19,13,17,18
395059,36,"San Jose, CA",msa,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
394902,37,"Nashville, TN",msa,TN,128,166,184,207,187,214,187,160,129,145,85,128,62,69,86,98,108,101,99,69,50,45,36,54,12,15,17,26,37,51,49,66,64,61,49,99,43,68,89,137,132,120,114,63,37,51,50,50,11,9,23,18,46,82,15,46,31,15,10,26,15,16,29,30,45,46,29,54,27
395194,38,"Virginia Beach, VA",msa,VA,29,53,43,57,54,67,54,38,35,30,17,23,14,22,11,20,25,21,16,25,16,16,15,21,14,20,28,24,28,24,35,42,29,29,25,29,9,9,,,79,82,70,52,30,28,36,40,17,31,38,38,41,27,24,27,16,29,22,26,16,17,19,21,28,36,25,23,18
395005,39,"Providence, RI",msa,RI,21,13,19,16,30,16,19,17,10,14,19,15,11,18,16,18,16,22,13,28,22,29,23,24,15,32,20,15,23,20,23,31,38,28,35,25,18,23,36,36,37,28,30,30,32,22,31,37,23,27,40,33,28,35,28,20,31,20,16,33,13,9,16,19,25,25,21,26,31
394862,41,"Milwaukee, WI",msa,WI,,,,,,,,,,,,,,,,12,21,12,16,12,9,8,10,13,8,10,19,18,20,17,14,11,14,24,15,12,10,6,15,17,20,30,27,21,19,18,17,23,13,6,19,13,9,8,19,7,10,6,10,14,6,11,15,12,16,23,16,15,13
395022,45,"Richmond, VA",msa,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,14,7,7
394807,46,"Louisville, KY",msa,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
394910,47,"New Orleans, LA",msa,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,14,15,13,7,10,10
395053,48,"Salt Lake City, UT",msa,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,14,10
394640,53,"Grand Rapids, MI",msa,MI,57,64,59,52,59,49,54,71,43,56,38,40,31,29,45,46,47,34,33,27,34,39,26,18,19,21,22,13,17,42,36,40,39,69,36,52,39,46,48,39,61,56,53,41,45,67,38,37,24,29,33,28,34,31,35,38,31,23,28,24,10,17,25,33,18,29,27,29,32
753924,55,"Urban Honolulu, HI",msa,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
395238,58,"Worcester, MA",msa,MA,,,,,,,,,,,,,,,,,,,,,,13,17,8,10,8,9,24,12,23,15,20,22,30,24,31,5,11,20,29,29,29,28,25,22,22,18,29,14,8,22,15,32,59,32,33,15,22,11,25,25,12,11,17,19,29,15,29,15
394440,78,"Cape Coral, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,18,12,9,34,28
395006,92,"Provo, UT",msa,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,34,46,16,40,39,43,29,37,20,18,10,16,30,21,39,23,22,23,34,18,14,22,12,30,45,34,31,31,22,11,15
394997,105,"Portland, ME",msa,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,16,14,15,15,18,13,17,12,19,32,21,36,21,16,18,28,33,49,14,15,24,34,12,26,20,28,18,27,21,29,28,16,13,13,17,18,24,17,12
394971,111,"Pensacola, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
394898,117,"Myrtle Beach, SC",msa,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14,17,8,9,18,14,28,21
394596,135,"Flint, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
394901,147,"Naples, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5
753875,176,"Crestview, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,25
394732,190,"Kalamazoo, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5
394361,202,"Barnstable Town, MA",msa,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
394519,203,"Daphne, AL",msa,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
394773,214,"Las Cruces, NM",msa,NM,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394896,250,"Muskegon, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
394930,271,"Odessa, TX",msa,TX,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394407,356,"Bozeman, MT",msa,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
394674,467,"Heber, UT",msa,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,7,6,5,10,8,12,13
395020,517,"Rexburg, ID",msa,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,6,14
